ams_policy_type,glovebox_policy_type_id,
All Terrain Vehicle,toy,
Antique Auto,auto,
ATV,toy,
AUTA,auto,
AUTC,auto,
AUTO,auto,
auto,auto,
Auto,auto,
AUTO,auto,
AUTOP,auto,
AutoP,auto,
AUTP,auto,
AUTR,auto,
BOAT,boat,
Boat,boat,
CLASSIC,auto,
Classic Auto,auto,
CLAU,auto,
Comp Personal Liability,umbrella,
Personal Liability,umbrella,
COND,home,
CONDO,home,
Condo,home,
Condo owners - Personal,home,personal
Condominium,home,
CONDOMINIUM,home,
CYCL,motorcycle,
CYCLE,motorcycle,
Cycle,motorcycle,
DFIRE,home,
Dwelling,home,
DWELLING,home,
Dwelling & Fire,home,
Dwelling Fire,home,
DWELLING FIRE,home,
Dwelling Fire,home,personal
"Dwelling Fire, Homeowners",home,personal
EARP,earthquake,
EARTHQUAKE,earthquake,
Earthquake,earthquake,
Earthquake (P),earthquake,
EQ,earthquake,
EXCP,umbrella,
Fine Arts,articles,
FIRE,home,
Fire Dwel,home,
Fire Dwell,home,
Fire dwell,home,
FLDP,flood,
FLOD,flood,
FLOOD,flood,
Flood,flood,
Flood - Personal,flood,
Flood (P),flood,
Flood-P,flood,
FLOP,flood,
Golf Cart,toy,
HO-3,home,personal
"HO-3, Homeowners",home,personal
HOMC,home,
HOMD,home,
HOME,home,
Home,home,
Homeowner's,home,
Homeowners,home,
Homeowners HO6,home,
"Homeowners, Dwelling Fire",home,personal
"Homeowners, HO-3",home,personal
"Homeowners, Homeowners",home,personal
"Homeowners, Renters",home,personal
"Homeowners, Personal Inland Marine",home,
HOMM,rv,
HOMT,home,
IMAR,articles,
Inland Marine (P),articles,
INLAND MARINE PL,articles,
INLM,articles,
INLP,articles,
INMR,articles,
INMRP,articles,
JET SKI,toy,
JEWEL,articles,
Jewelry,articles,
Landlord,home,
Landlord Package,home,
Mexau,auto,
MBHM,rv,
MH Travel Trailer,toy,
MHOM,rv,
MHOME,rv,
MHome,rv,
Mob Home,rv,
MOBH,rv,
Mobile,rv,
MOBILE HOME,rv,
Mobile Home,rv,
Mobile Home Owners,rv,
Mobile Homeowners,rv,
Mobile Homes,rv,
Mobile Hom,rv,
Mobilehome,rv,
MODHO,rv,
MOTO,motorcycle,
Motor Homes,rv,
MOTORCYCLE,motorcycle,
Motorcycle,motorcycle,personal
Motorcyle,motorcycle,
Motorhome,rv,
MotorHome,rv,
Non-Standard Auto,auto,
Off Road Vehicle,toy,
Package (P),package,
Package P,package,
PACP,package,
PCKG,package,
Pers Inland Marine,articles,
Personal Antique Auto,auto,
Personal Auto,auto,
Personal Auto - 12 month term,auto,
Personal Auto 6 month term,auto,
Per Auto,auto,
PERSONAL AUTO,auto,
Personal Boat,boat,
Personal Condo,home,
Personal Floater,articles,
Personal Flood,flood,
PERSONAL FLOOD,flood,
Personal Group Umbrella,umbrella,
Personal Inland Marine,articles,
Personal Jetski,toy,
,,
Personal Non-Standard Auto,auto,
Personal package,package,
Personal Package,package,
Personal Renter,home,
Personal Travel Trailer,toy,
Personal Umbrella,umbrella,
PERSONAL UMBRELLA,umbrella,
Pet Health,pet,
Pet Health Insurance,pet,
Pet Ins,pet,
Pet Insurance,pet,
PETIN,pet,
PFLD,flood,
PFLOOD,flood,
Pkg-AUTOP,auto,
Pkg-HOME,home,
PPKG,package,
PPKGE,package,
Private Passenger Auto,auto,
PUMB,umbrella,
PUMBR,umbrella,
RECREATIONAL VEHICLE,toy,
Recreational Vehicle - P,toy,
Recreational Vehicle (P),toy,
Recreational Vehicles,toy,
RECV,toy,
RENT,home,
Renter,home,
Renters,home,
Renters (HO-4),home,
RENTERS,home,
Renters Insurance,home,
RV,rv,
Scheduled Property,articles,
SCHPR,articles,
Seasonal Homeowner Po,home,
SNOW,toy,
SNOWM,toy,
SNOWMOBILE,toy,
Snowmobile,toy,
Standard Auto,auto,
TENA,home,
Tenant,home,
TOY,toy,
TRAILER,toy,
Travel Trailer,toy,
UMBP,umbrella,
UMBRELLA,umbrella,
Umbrella - Personal,umbrella,
Umbrella (P),umbrella,
Vacant home,home,
VACPR,home,
VPROP,home,
Valuable Items Policy,articles,
Watercraft,boat,
Watercraft (small boat),boat,
Watercraft (Small Boat),boat,personal
WATP,toy,
"Wind policies, Homeowners",home,personal
Yacht,boat,
YACHT,boat,